,P3 7p
2BT+12TT+Stannyl+Phenyl,0.0
3BT+9TT+Methyl+Phenyl,0.0
2BT+12TT+Stannyl+Br,0.0
3BT+9TT+Br+Methyl,0.0
3BT+8TT+Stannyl+Phenyl,0.0
4BT+5TT+Methyl+Phenyl,0.010306014819674842
3BT+8TT+Stannyl+Br,0.0
4BT+5TT+Br+Methyl,0.0
4BT+4TT+Stannyl+Phenyl,0.0
5BT+1TT+Methyl+Phenyl,0.0
4BT+4TT+Stannyl+Br,-0.0
5BT+1TT+Br+Methyl,0.0
5BT+0TT+Stannyl+Phenyl,0.0
5BT+0TT+Stannyl+Br,0.0
3BT+10TT+2H,-0.0
4BT+6TT+2H,0.009239633169955998
5BT+2TT+2H,0.0
3BT+10TT+H+Methyl,0.0
3BT+9TT+2Phenyl,0.0
3BT+9TT+Br+Phenyl,-0.0
3BT+9TT+2Br,0.0
3BT+9TT+Stannyl+H,0.0
4BT+6TT+H+Methyl,0.03495693297358271
4BT+5TT+2Phenyl,0.0
4BT+5TT+Br+Phenyl,0.0
4BT+5TT+2Br,0.0
4BT+5TT+Stannyl+H,0.0
5BT+2TT+H+Methyl,0.0
5BT+1TT+2Phenyl,0.0
5BT+1TT+Br+Phenyl,0.0
5BT+1TT+2Br,0.0
5BT+1TT+Stannyl+H,0.0
3BT+10TT+2Methyl,-0.0
3BT+9TT+Stannyl+Methyl,0.0
4BT+6TT+2Methyl,0.029408833612312012
2BT+12TT+2Stannyl,0.0007557125137786746
4BT+5TT+Stannyl+Methyl,0.0
5BT+2TT+2Methyl,0.001024232687570213
3BT+8TT+2Stannyl,0.0030121926419902807
5BT+1TT+Stannyl+Methyl,-0.0
4BT+4TT+2Stannyl,0.0008125559122251515
5BT+0TT+2Stannyl,0.0
3BT+10TT+H+Phenyl,0.0
3BT+10TT+Br+H,-0.0
4BT+6TT+H+Phenyl,0.0045759491257506635
4BT+6TT+Br+H,0.0
5BT+2TT+H+Phenyl,0.0
5BT+2TT+Br+H,0.0
3BT+10TT+Methyl+Phenyl,0.0
3BT+10TT+Br+Methyl,0.0
3BT+9TT+Stannyl+Phenyl,-0.0
4BT+6TT+Methyl+Phenyl,0.007422195745324239
3BT+9TT+Stannyl+Br,0.0
4BT+6TT+Br+Methyl,9.8556200882428e-05
4BT+5TT+Stannyl+Phenyl,0.0
5BT+2TT+Methyl+Phenyl,-0.0
4BT+5TT+Stannyl+Br,0.0
5BT+2TT+Br+Methyl,0.0
5BT+1TT+Stannyl+Phenyl,0.0
5BT+1TT+Stannyl+Br,0.0
3BT+11TT+2H,-0.0
4BT+7TT+2H,0.007491164054607969
5BT+3TT+2H,-0.0
3BT+11TT+H+Methyl,0.0
3BT+10TT+2Phenyl,0.0
3BT+10TT+Br+Phenyl,-0.0
3BT+10TT+2Br,-0.0
3BT+10TT+Stannyl+H,0.0
4BT+7TT+H+Methyl,0.019417353267545782
4BT+6TT+2Phenyl,0.0
4BT+6TT+Br+Phenyl,0.0
4BT+6TT+2Br,0.0
4BT+6TT+Stannyl+H,0.0
5BT+3TT+H+Methyl,0.0
5BT+2TT+2Phenyl,0.0
5BT+2TT+Br+Phenyl,0.00586447906511663
5BT+2TT+2Br,0.0
5BT+2TT+Stannyl+H,0.0
3BT+11TT+2Methyl,0.0
3BT+10TT+Stannyl+Methyl,0.0
4BT+7TT+2Methyl,0.017704467779183403
4BT+6TT+Stannyl+Methyl,0.0
5BT+3TT+2Methyl,0.007516867529811678
3BT+9TT+2Stannyl,0.0019437089874278566
5BT+2TT+Stannyl+Methyl,0.0
4BT+5TT+2Stannyl,-0.0
5BT+1TT+2Stannyl,0.001322672320296804
3BT+11TT+H+Phenyl,-0.0
3BT+11TT+Br+H,-0.0
4BT+7TT+H+Phenyl,0.00160268861902547
4BT+7TT+Br+H,0.0
5BT+3TT+H+Phenyl,0.0011221958699898509
5BT+3TT+Br+H,4.226341238285006e-05
3BT+11TT+Methyl+Phenyl,0.0
3BT+11TT+Br+Methyl,0.0
3BT+10TT+Stannyl+Phenyl,0.0
4BT+7TT+Methyl+Phenyl,0.003928308425124586
3BT+10TT+Stannyl+Br,0.0
4BT+7TT+Br+Methyl,0.0
4BT+6TT+Stannyl+Phenyl,0.0
5BT+3TT+Methyl+Phenyl,0.0013800868373021386
4BT+6TT+Stannyl+Br,-0.0
5BT+3TT+Br+Methyl,0.0
5BT+2TT+Stannyl+Phenyl,-0.0
5BT+2TT+Stannyl+Br,0.0
3BT+12TT+2H,-0.0
4BT+8TT+2H,0.0023370440977893824
5BT+4TT+2H,0.015575137147121942
6BT+0TT+2H,-0.0
3BT+12TT+H+Methyl,-0.0
3BT+11TT+2Phenyl,0.0
3BT+11TT+Br+Phenyl,0.0
3BT+11TT+2Br,-0.0
3BT+11TT+Stannyl+H,0.0
4BT+8TT+H+Methyl,-0.0
4BT+7TT+2Phenyl,0.0
4BT+7TT+Br+Phenyl,0.0
4BT+7TT+2Br,0.0
4BT+7TT+Stannyl+H,0.0
5BT+4TT+H+Methyl,0.0352480195235021
5BT+3TT+2Phenyl,0.0
5BT+3TT+Br+Phenyl,0.0
5BT+3TT+2Br,0.0
5BT+3TT+Stannyl+H,0.0
6BT+0TT+H+Methyl,0.0
3BT+12TT+2Methyl,0.0
3BT+11TT+Stannyl+Methyl,-0.0
4BT+8TT+2Methyl,0.009970519495743332
4BT+7TT+Stannyl+Methyl,0.0
5BT+4TT+2Methyl,0.020008465350413254
3BT+10TT+2Stannyl,0.0009452953498059166
5BT+3TT+Stannyl+Methyl,0.0
6BT+0TT+2Methyl,-0.0
4BT+6TT+2Stannyl,0.0032652242405607603
5BT+2TT+2Stannyl,0.0019014548960461783
3BT+12TT+H+Phenyl,-0.0
3BT+12TT+Br+H,-0.0
4BT+8TT+H+Phenyl,-0.0
4BT+8TT+Br+H,-0.0
5BT+4TT+H+Phenyl,0.004728812068978004
5BT+4TT+Br+H,0.0
6BT+0TT+H+Phenyl,0.0
3BT+12TT+Methyl+Phenyl,0.0
6BT+0TT+Br+H,0.0
3BT+12TT+Br+Methyl,0.0
3BT+11TT+Stannyl+Phenyl,0.0
4BT+8TT+Methyl+Phenyl,0.001980440862509033
3BT+11TT+Stannyl+Br,0.0
4BT+8TT+Br+Methyl,0.0
4BT+7TT+Stannyl+Phenyl,0.0
5BT+4TT+Methyl+Phenyl,0.004545513871816244
4BT+7TT+Stannyl+Br,0.0
5BT+4TT+Br+Methyl,0.0
5BT+3TT+Stannyl+Phenyl,0.0
6BT+0TT+Methyl+Phenyl,0.0
5BT+3TT+Stannyl+Br,-0.0
6BT+0TT+Br+Methyl,0.0
3BT+13TT+2H,-0.0
4BT+9TT+2H,-0.0
5BT+5TT+2H,0.018382638574062006
6BT+1TT+2H,-0.0
3BT+13TT+H+Methyl,0.0
3BT+12TT+2Phenyl,0.0
3BT+12TT+Br+Phenyl,0.0
3BT+12TT+2Br,-0.0
3BT+12TT+Stannyl+H,0.0
4BT+9TT+H+Methyl,0.0
4BT+8TT+2Phenyl,0.0
4BT+8TT+Br+Phenyl,-0.0
4BT+8TT+2Br,0.0
4BT+8TT+Stannyl+H,0.0
5BT+5TT+H+Methyl,0.04440021748984825
5BT+4TT+2Phenyl,0.0
5BT+4TT+Br+Phenyl,0.0
5BT+4TT+2Br,0.0
5BT+4TT+Stannyl+H,0.0
6BT+1TT+H+Methyl,0.0
6BT+0TT+2Phenyl,0.0
3BT+13TT+2Methyl,0.0
6BT+0TT+Br+Phenyl,0.0009938445432434364
6BT+0TT+2Br,0.0
6BT+0TT+Stannyl+H,0.0
3BT+12TT+Stannyl+Methyl,0.0006033827358942692
4BT+9TT+2Methyl,0.0006936027842581925
4BT+8TT+Stannyl+Methyl,0.0
5BT+5TT+2Methyl,0.029683018543213088
3BT+11TT+2Stannyl,0.001129042461604956
5BT+4TT+Stannyl+Methyl,0.0
6BT+1TT+2Methyl,-0.0
4BT+7TT+2Stannyl,0.00039746193401891434
6BT+0TT+Stannyl+Methyl,0.0017816825167122107
5BT+3TT+2Stannyl,0.0030304658241686023
3BT+13TT+H+Phenyl,-0.0
3BT+13TT+Br+H,-0.0
4BT+9TT+H+Phenyl,-0.0
