,P1
2BT+12TT+Stannyl+Phenyl,0.0
3BT+9TT+Methyl+Phenyl,0.0054134176411360715
2BT+12TT+Stannyl+Br,0.0
3BT+9TT+Br+Methyl,0.0003966059948165213
3BT+8TT+Stannyl+Phenyl,0.004669465740909515
4BT+5TT+Methyl+Phenyl,-0.0
3BT+8TT+Stannyl+Br,0.0
4BT+5TT+Br+Methyl,0.0002236455838165923
4BT+4TT+Stannyl+Phenyl,0.0
5BT+1TT+Methyl+Phenyl,0.004286178947193406
4BT+4TT+Stannyl+Br,0.0
5BT+1TT+Br+Methyl,0.0
5BT+0TT+Stannyl+Phenyl,0.0
5BT+0TT+Stannyl+Br,0.0007522849172969857
3BT+10TT+2H,-0.0
4BT+6TT+2H,0.004317717240505523
5BT+2TT+2H,0.007551102977686044
3BT+10TT+H+Methyl,0.0
3BT+9TT+2Phenyl,0.0
3BT+9TT+Br+Phenyl,0.0
3BT+9TT+2Br,0.003023657925012453
3BT+9TT+Stannyl+H,0.005922734803211892
4BT+6TT+H+Methyl,0.0
4BT+5TT+2Phenyl,0.0
4BT+5TT+Br+Phenyl,-0.0
4BT+5TT+2Br,0.0
4BT+5TT+Stannyl+H,-0.0
5BT+2TT+H+Methyl,0.00182409710058397
5BT+1TT+2Phenyl,0.0
5BT+1TT+Br+Phenyl,0.0
5BT+1TT+2Br,0.0006682342077056781
5BT+1TT+Stannyl+H,0.0
3BT+10TT+2Methyl,0.0
3BT+9TT+Stannyl+Methyl,-0.0
4BT+6TT+2Methyl,0.0
2BT+12TT+2Stannyl,-0.0
4BT+5TT+Stannyl+Methyl,0.0
5BT+2TT+2Methyl,0.0
3BT+8TT+2Stannyl,0.0
5BT+1TT+Stannyl+Methyl,0.0
4BT+4TT+2Stannyl,-0.0
5BT+0TT+2Stannyl,0.000307935824754404
3BT+10TT+H+Phenyl,-0.0
3BT+10TT+Br+H,-0.0
4BT+6TT+H+Phenyl,-0.0
4BT+6TT+Br+H,-0.0
5BT+2TT+H+Phenyl,0.007054181122580838
5BT+2TT+Br+H,0.004015024962753983
3BT+10TT+Methyl+Phenyl,0.0
3BT+10TT+Br+Methyl,0.0
3BT+9TT+Stannyl+Phenyl,0.0010849519414484993
4BT+6TT+Methyl+Phenyl,0.0
3BT+9TT+Stannyl+Br,0.0
4BT+6TT+Br+Methyl,0.0
4BT+5TT+Stannyl+Phenyl,0.0
5BT+2TT+Methyl+Phenyl,0.000836397685561353
4BT+5TT+Stannyl+Br,0.0
5BT+2TT+Br+Methyl,-0.0
5BT+1TT+Stannyl+Phenyl,0.0
5BT+1TT+Stannyl+Br,0.0
3BT+11TT+2H,0.0
4BT+7TT+2H,0.0006400536801525737
5BT+3TT+2H,0.0055157821951162395
3BT+11TT+H+Methyl,0.0
3BT+10TT+2Phenyl,0.0
