,P3
2BT+12TT+Stannyl+Phenyl,0.0
3BT+9TT+Methyl+Phenyl,-0.0
2BT+12TT+Stannyl+Br,0.0
3BT+9TT+Br+Methyl,0.0
3BT+8TT+Stannyl+Phenyl,0.0
4BT+5TT+Methyl+Phenyl,0.008811719059093129
3BT+8TT+Stannyl+Br,0.0
4BT+5TT+Br+Methyl,0.0
4BT+4TT+Stannyl+Phenyl,0.0
5BT+1TT+Methyl+Phenyl,0.0
4BT+4TT+Stannyl+Br,-0.0
5BT+1TT+Br+Methyl,0.0
5BT+0TT+Stannyl+Phenyl,0.0
5BT+0TT+Stannyl+Br,0.0
3BT+10TT+2H,-0.0
4BT+6TT+2H,0.011061342951907291
5BT+2TT+2H,0.0
3BT+10TT+H+Methyl,-0.0
3BT+9TT+2Phenyl,0.0
3BT+9TT+Br+Phenyl,-0.0
3BT+9TT+2Br,0.0
3BT+9TT+Stannyl+H,0.0
4BT+6TT+H+Methyl,0.03464382076323362
4BT+5TT+2Phenyl,0.0
4BT+5TT+Br+Phenyl,0.0
4BT+5TT+2Br,0.0
4BT+5TT+Stannyl+H,0.0
5BT+2TT+H+Methyl,0.0
5BT+1TT+2Phenyl,0.0
5BT+1TT+Br+Phenyl,0.0
5BT+1TT+2Br,0.0
5BT+1TT+Stannyl+H,-0.0
3BT+10TT+2Methyl,-0.0
3BT+9TT+Stannyl+Methyl,0.0
4BT+6TT+2Methyl,0.02644403807866257
2BT+12TT+2Stannyl,0.0017420728437961162
4BT+5TT+Stannyl+Methyl,0.0
5BT+2TT+2Methyl,-0.0
3BT+8TT+2Stannyl,0.0015698093462776772
5BT+1TT+Stannyl+Methyl,-0.0
4BT+4TT+2Stannyl,0.0013130492752267623
5BT+0TT+2Stannyl,0.0
3BT+10TT+H+Phenyl,0.0
3BT+10TT+Br+H,-0.0
4BT+6TT+H+Phenyl,0.0050678508189843634
4BT+6TT+Br+H,0.0
5BT+2TT+H+Phenyl,-0.0
5BT+2TT+Br+H,0.0
3BT+10TT+Methyl+Phenyl,-0.0
3BT+10TT+Br+Methyl,-0.0
3BT+9TT+Stannyl+Phenyl,-0.0
4BT+6TT+Methyl+Phenyl,0.007713881803655321
3BT+9TT+Stannyl+Br,0.0
4BT+6TT+Br+Methyl,0.00019084131295956595
4BT+5TT+Stannyl+Phenyl,0.0
5BT+2TT+Methyl+Phenyl,-0.0
4BT+5TT+Stannyl+Br,0.0
5BT+2TT+Br+Methyl,0.0
5BT+1TT+Stannyl+Phenyl,0.0
5BT+1TT+Stannyl+Br,0.0
3BT+11TT+2H,-0.0
4BT+7TT+2H,0.006894381667631599
5BT+3TT+2H,0.0
3BT+11TT+H+Methyl,0.0
3BT+10TT+2Phenyl,0.0
3BT+10TT+Br+Phenyl,-0.0
3BT+10TT+2Br,-0.0
3BT+10TT+Stannyl+H,0.0
4BT+7TT+H+Methyl,0.028514182217614297
4BT+6TT+2Phenyl,0.0
4BT+6TT+Br+Phenyl,0.0
4BT+6TT+2Br,0.0
4BT+6TT+Stannyl+H,0.0
5BT+3TT+H+Methyl,0.0
5BT+2TT+2Phenyl,0.0
5BT+2TT+Br+Phenyl,0.005705971915319382
5BT+2TT+2Br,0.0
5BT+2TT+Stannyl+H,0.0
3BT+11TT+2Methyl,0.0
3BT+10TT+Stannyl+Methyl,0.0019019454137761333
4BT+7TT+2Methyl,0.022321272867501924
4BT+6TT+Stannyl+Methyl,0.001234708879117879
5BT+3TT+2Methyl,0.0017315256028066575
3BT+9TT+2Stannyl,-0.0
5BT+2TT+Stannyl+Methyl,0.0
4BT+5TT+2Stannyl,0.0
5BT+1TT+2Stannyl,0.000697943912807974
3BT+11TT+H+Phenyl,0.0
3BT+11TT+Br+H,-0.0
4BT+7TT+H+Phenyl,0.002862449073571068
4BT+7TT+Br+H,0.0
5BT+3TT+H+Phenyl,-0.0
5BT+3TT+Br+H,0.0005559789540287403
3BT+11TT+Methyl+Phenyl,0.0
3BT+11TT+Br+Methyl,0.0
3BT+10TT+Stannyl+Phenyl,0.0
4BT+7TT+Methyl+Phenyl,0.006004372867064844
3BT+10TT+Stannyl+Br,0.0
4BT+7TT+Br+Methyl,0.0
4BT+6TT+Stannyl+Phenyl,0.0
5BT+3TT+Methyl+Phenyl,0.0011082376607840052
4BT+6TT+Stannyl+Br,-0.0
5BT+3TT+Br+Methyl,0.0
5BT+2TT+Stannyl+Phenyl,0.0
5BT+2TT+Stannyl+Br,0.0
3BT+12TT+2H,-0.0
4BT+8TT+2H,-0.0
5BT+4TT+2H,0.012750747675893575
6BT+0TT+2H,0.0012028064131903162
3BT+12TT+H+Methyl,-0.0
3BT+11TT+2Phenyl,0.0
3BT+11TT+Br+Phenyl,-0.0
3BT+11TT+2Br,0.0
3BT+11TT+Stannyl+H,0.0
4BT+8TT+H+Methyl,0.012295931301720036
4BT+7TT+2Phenyl,0.0
4BT+7TT+Br+Phenyl,0.0
4BT+7TT+2Br,0.0
4BT+7TT+Stannyl+H,0.0
5BT+4TT+H+Methyl,0.024610744752379555
5BT+3TT+2Phenyl,0.0
5BT+3TT+Br+Phenyl,0.0
5BT+3TT+2Br,0.0
5BT+3TT+Stannyl+H,0.0
6BT+0TT+H+Methyl,0.0
3BT+12TT+2Methyl,0.0
3BT+11TT+Stannyl+Methyl,0.0
4BT+8TT+2Methyl,0.013752545781187751
4BT+7TT+Stannyl+Methyl,2.5960050665557194e-06
5BT+4TT+2Methyl,0.013146325311026308
3BT+10TT+2Stannyl,0.0012978063141219397
5BT+3TT+Stannyl+Methyl,0.0
6BT+0TT+2Methyl,0.0
4BT+6TT+2Stannyl,0.0012884560579486317
5BT+2TT+2Stannyl,0.0014265291417659863
3BT+12TT+H+Phenyl,0.0
3BT+12TT+Br+H,-0.0
4BT+8TT+H+Phenyl,0.0011637005786302957
4BT+8TT+Br+H,0.0
5BT+4TT+H+Phenyl,0.002716995931347724
5BT+4TT+Br+H,0.0
6BT+0TT+H+Phenyl,0.0
3BT+12TT+Methyl+Phenyl,0.0
6BT+0TT+Br+H,0.0
3BT+12TT+Br+Methyl,0.0
3BT+11TT+Stannyl+Phenyl,0.0
4BT+8TT+Methyl+Phenyl,0.0031358163780397822
3BT+11TT+Stannyl+Br,0.0
4BT+8TT+Br+Methyl,0.0
4BT+7TT+Stannyl+Phenyl,0.0
5BT+4TT+Methyl+Phenyl,0.0026457156341480326
4BT+7TT+Stannyl+Br,0.0
5BT+4TT+Br+Methyl,0.0
5BT+3TT+Stannyl+Phenyl,-0.0
6BT+0TT+Methyl+Phenyl,0.0
5BT+3TT+Stannyl+Br,0.0
6BT+0TT+Br+Methyl,0.0
3BT+13TT+2H,-0.0
4BT+9TT+2H,-0.0
5BT+5TT+2H,0.01696547313970479
6BT+1TT+2H,-0.0
3BT+13TT+H+Methyl,0.0
3BT+12TT+2Phenyl,0.0
3BT+12TT+Br+Phenyl,0.0
3BT+12TT+2Br,0.0
3BT+12TT+Stannyl+H,0.0
4BT+9TT+H+Methyl,-0.0
4BT+8TT+2Phenyl,0.0
4BT+8TT+Br+Phenyl,0.0
4BT+8TT+2Br,-0.0
4BT+8TT+Stannyl+H,-0.0
5BT+5TT+H+Methyl,0.036442498941765857
5BT+4TT+2Phenyl,0.0
5BT+4TT+Br+Phenyl,0.0
5BT+4TT+2Br,0.0
5BT+4TT+Stannyl+H,0.0
6BT+1TT+H+Methyl,0.0
6BT+0TT+2Phenyl,0.0
3BT+13TT+2Methyl,0.0
6BT+0TT+Br+Phenyl,0.0008805202946094569
6BT+0TT+2Br,0.0
6BT+0TT+Stannyl+H,0.0
3BT+12TT+Stannyl+Methyl,0.0
4BT+9TT+2Methyl,0.005946392336335977
4BT+8TT+Stannyl+Methyl,0.0
5BT+5TT+2Methyl,0.021642751506372668
3BT+11TT+2Stannyl,0.0008794254378656334
5BT+4TT+Stannyl+Methyl,0.0
6BT+1TT+2Methyl,0.0
4BT+7TT+2Stannyl,-0.0
6BT+0TT+Stannyl+Methyl,0.0018081917459365406
5BT+3TT+2Stannyl,0.002551336368548754
3BT+13TT+H+Phenyl,0.0
3BT+13TT+Br+H,-0.0
4BT+9TT+H+Phenyl,0.0005760833478174996
