,5BT+3TT+2H,4BT+7TT+H+Methyl,4BT+6TT+2Phenyl,4BT+6TT+Br+Phenyl,4BT+6TT+2Br,4BT+6TT+Stannyl+H,5BT+3TT+H+Methyl,5BT+2TT+2Phenyl,5BT+2TT+Br+Phenyl,5BT+2TT+2Br,5BT+2TT+Stannyl+H,4BT+7TT+2Methyl,4BT+6TT+Stannyl+Methyl,5BT+3TT+2Methyl,5BT+2TT+Stannyl+Methyl,4BT+5TT+2Stannyl,5BT+1TT+2Stannyl,4BT+7TT+H+Phenyl,4BT+7TT+Br+H,5BT+3TT+H+Phenyl,5BT+3TT+Br+H,4BT+7TT+Methyl+Phenyl,4BT+7TT+Br+Methyl,4BT+6TT+Stannyl+Phenyl,5BT+3TT+Methyl+Phenyl,4BT+6TT+Stannyl+Br,5BT+3TT+Br+Methyl,5BT+2TT+Stannyl+Phenyl,5BT+2TT+Stannyl+Br,4BT+8TT+2H,5BT+4TT+2H,4BT+8TT+H+Methyl,4BT+7TT+2Phenyl,4BT+7TT+Br+Phenyl,4BT+7TT+2Br,4BT+7TT+Stannyl+H,5BT+4TT+H+Methyl,5BT+3TT+2Phenyl,5BT+3TT+Br+Phenyl,5BT+3TT+2Br,5BT+3TT+Stannyl+H,4BT+8TT+2Methyl,4BT+7TT+Stannyl+Methyl,5BT+4TT+2Methyl,5BT+3TT+Stannyl+Methyl,4BT+6TT+2Stannyl,5BT+2TT+2Stannyl,4BT+8TT+H+Phenyl,4BT+8TT+Br+H,5BT+4TT+H+Phenyl,5BT+4TT+Br+H,4BT+8TT+Methyl+Phenyl,4BT+8TT+Br+Methyl,4BT+7TT+Stannyl+Phenyl,5BT+4TT+Methyl+Phenyl,4BT+7TT+Stannyl+Br,5BT+4TT+Br+Methyl,5BT+3TT+Stannyl+Phenyl,5BT+3TT+Stannyl+Br,4BT+9TT+2H,5BT+5TT+2H,6BT+1TT+2H,4BT+9TT+H+Methyl,4BT+8TT+2Phenyl,4BT+8TT+Br+Phenyl,4BT+8TT+2Br,4BT+8TT+Stannyl+H,5BT+5TT+H+Methyl,5BT+4TT+2Phenyl,5BT+4TT+Br+Phenyl,5BT+4TT+2Br,5BT+4TT+Stannyl+H,6BT+1TT+H+Methyl,4BT+9TT+2Methyl,5BT+5TT+2Methyl,6BT+1TT+2Methyl
P1,0.0055157821951162,0.0,0.0,-0.0,0.0,0.0,0.0036557784030431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0092115033910895,0.0,0.0,0.0,-0.0,0.0,0.0024360539297601,0.0,0.0,-0.0,0.0547883874613612,0.0,0.0,-0.0,0.0132019664487298,-0.0,0.0303205102099571,0.0,0.0,0.0005325614373416,0.0,0.0,0.0,0.0070324626273216,0.0,0.0014336803893429,0.0002594975486122,0.0,0.0,0.0002250162869016,0.0972035317356448,0.0,0.0,0.0,0.0,0.0,0.0370221878925279,0.0,0.0,-0.0,0.0400946344504367,0.0,0.0,0.0,-0.0,0.0127648027000241,-0.0,0.0173104531638056,0.0,0.0,0.0368976642634789,0.0003652555425154,0.0,0.0,0.0048958659038828,8.826089297060833e-05
P2,0.0117778578738472,0.0023772790891531,0.0,0.0,0.0,3.938268403343782e-05,0.0231326556084137,0.0,0.0006612187659076,3.05229257303059e-05,0.0,3.991314107373083e-05,0.0,0.0122211006496154,0.0,0.0028811488590414,0.001678264123373,0.0004702714493649,0.0,0.0055910813262143,0.0072754940906885,0.0,0.0,0.0,0.0051486122490668,0.0,0.0075930529865398,0.0,0.0,-0.0,0.0263649827222394,-0.0,0.0,0.0,-0.0,-0.0,0.0487921167636436,0.0,0.0011302387218904,0.0019416318359864,0.0,0.0,0.0002549361874477,0.0246755131737635,0.0004614147544067,0.0064144653435233,0.0050693361362433,0.0004610387787811,0.0,0.0117690762836105,0.0141917280113557,-0.0,-0.0,-0.0,0.0112055485419085,0.0,0.0140120052577252,0.0,0.0005699672636543,0.0020070084901804,0.024751378465529,0.0,0.0005452045085644,0.0,0.0,-0.0,-0.0,0.0395766977365876,0.0,0.0031111580449659,0.0021563263192227,0.0,0.0,0.0,0.0173905504924476,0.0006530898692695
P3,0.0,0.0282948001598482,0.0,0.0,0.0,0.0,0.0,0.0,0.0056620713801055,0.0,0.0,0.0221495377381223,0.0012646549236615,0.0039231700368625,0.0,-0.0,0.0006925740807344,0.0027850243937968,0.0,0.0,0.0005120500765706,0.0062007505337434,0.0,0.0,0.0010462559501501,0.0,0.0,0.0,0.0,-0.0,0.0126382831457098,0.0135071021175369,0.0,0.0,0.0,0.0,0.0238443208475661,0.0,0.0,0.0,0.0,0.0137821945442187,0.0002319801863002,0.0128773551635123,0.0003557076980298,0.001596498207927,0.0015221859202544,0.001333527673908,0.0,0.0030151572391368,0.0,0.0035358081746604,0.0,0.0,0.0029228283405207,0.0,0.0,0.0,0.0,-0.0,0.0169000521106055,-0.0,0.0,0.0,0.0,0.0,0.0006098863771529,0.0363019720158442,0.0,0.0,-0.0,0.0,0.0,0.0060654289974528,0.0215454435315337,-0.0
P3 7p,-0.0,0.0192574727520057,0.0,0.0,0.0,0.0,0.0,0.0,0.0058665500920544,0.0,0.0,0.0175586909889043,0.0002313431634513,0.0073757588787055,0.0009890249387021,0.0011742232715858,0.0010217795203057,0.0017595910000386,0.0,-0.0,0.0004232313074622,0.0045093828066425,0.0,0.0,0.0015965490570282,0.0,0.0,0.0,0.0,0.0023318054587334,0.0158459930911033,-0.0,0.0,0.0,0.0,0.0,0.0351690087546038,0.0,0.0,0.0,0.0,0.0107970553048995,2.0839678606725143e-05,0.0198700541287146,0.0002029368529558,0.0040661211068667,0.0018397736090948,-0.0,0.0,0.0043711802074376,0.0,0.0019746079184911,0.0,0.0,0.0044944832198961,0.0,0.0,0.0,-0.0,-0.0,0.018401799615092,-0.0,0.0,0.0,0.0,0.0,0.000467429225235,0.0444358343953529,0.0,0.0,-0.0,0.0,0.0,0.0021563088064953,0.0298956476392547,0.000244272836951
