,4BT+5TT+Methyl+Phenyl,4BT+5TT+Br+Methyl,4BT+4TT+Stannyl+Phenyl,4BT+4TT+Stannyl+Br,4BT+6TT+2H,4BT+6TT+H+Methyl,4BT+5TT+2Phenyl,4BT+5TT+Br+Phenyl,4BT+5TT+2Br,4BT+5TT+Stannyl+H,4BT+6TT+2Methyl,4BT+5TT+Stannyl+Methyl,4BT+4TT+2Stannyl,4BT+6TT+H+Phenyl,4BT+6TT+Br+H,4BT+6TT+Methyl+Phenyl,4BT+6TT+Br+Methyl,4BT+5TT+Stannyl+Phenyl,4BT+5TT+Stannyl+Br,5BT+3TT+2H,4BT+6TT+2Phenyl,4BT+6TT+Br+Phenyl,4BT+6TT+2Br,4BT+6TT+Stannyl+H,5BT+3TT+H+Methyl,4BT+6TT+Stannyl+Methyl,5BT+3TT+2Methyl,4BT+5TT+2Stannyl,5BT+3TT+H+Phenyl,5BT+3TT+Br+H,4BT+6TT+Stannyl+Phenyl,5BT+3TT+Methyl+Phenyl,4BT+6TT+Stannyl+Br,5BT+3TT+Br+Methyl,5BT+4TT+2H,5BT+4TT+H+Methyl,5BT+3TT+2Phenyl,5BT+3TT+Br+Phenyl,5BT+3TT+2Br,5BT+3TT+Stannyl+H,5BT+4TT+2Methyl,5BT+3TT+Stannyl+Methyl,4BT+6TT+2Stannyl,5BT+4TT+H+Phenyl,5BT+4TT+Br+H,5BT+4TT+Methyl+Phenyl,5BT+4TT+Br+Methyl,5BT+3TT+Stannyl+Phenyl,5BT+3TT+Stannyl+Br,5BT+5TT+2H,5BT+5TT+H+Methyl,5BT+4TT+2Phenyl,5BT+4TT+Br+Phenyl,5BT+4TT+2Br,5BT+4TT+Stannyl+H,5BT+5TT+2Methyl,5BT+4TT+Stannyl+Methyl,5BT+3TT+2Stannyl,5BT+5TT+H+Phenyl,5BT+5TT+Br+H,5BT+5TT+Methyl+Phenyl,5BT+5TT+Br+Methyl,5BT+4TT+Stannyl+Phenyl,5BT+4TT+Stannyl+Br,5BT+6TT+2H,5BT+6TT+H+Methyl,5BT+5TT+2Phenyl,5BT+5TT+Br+Phenyl,5BT+5TT+2Br,5BT+5TT+Stannyl+H,5BT+6TT+2Methyl,5BT+5TT+Stannyl+Methyl,5BT+4TT+2Stannyl,5BT+6TT+H+Phenyl,5BT+6TT+Br+H,5BT+6TT+Methyl+Phenyl,5BT+6TT+Br+Methyl,5BT+5TT+Stannyl+Phenyl,5BT+5TT+Stannyl+Br,5BT+7TT+2H,5BT+7TT+H+Methyl,5BT+6TT+2Phenyl,5BT+6TT+Br+Phenyl,5BT+6TT+2Br,5BT+6TT+Stannyl+H,5BT+7TT+2Methyl,5BT+6TT+Stannyl+Methyl,5BT+5TT+2Stannyl,5BT+7TT+H+Phenyl,5BT+7TT+Br+H,5BT+7TT+Methyl+Phenyl,5BT+7TT+Br+Methyl,5BT+6TT+Stannyl+Phenyl,5BT+6TT+Stannyl+Br,6BT+4TT+2H,5BT+7TT+2Phenyl,5BT+7TT+Br+Phenyl,5BT+7TT+2Br,5BT+7TT+Stannyl+H,6BT+4TT+H+Methyl,5BT+7TT+Stannyl+Methyl,6BT+4TT+2Methyl,5BT+6TT+2Stannyl,6BT+4TT+H+Phenyl,6BT+4TT+Br+H,5BT+7TT+Stannyl+Phenyl,6BT+4TT+Methyl+Phenyl,5BT+7TT+Stannyl+Br,6BT+4TT+Br+Methyl,6BT+5TT+2H,6BT+5TT+H+Methyl,6BT+4TT+2Phenyl,6BT+4TT+Br+Phenyl,6BT+4TT+2Br,6BT+4TT+Stannyl+H,6BT+5TT+2Methyl,6BT+4TT+Stannyl+Methyl,5BT+7TT+2Stannyl,6BT+5TT+H+Phenyl,6BT+5TT+Br+H,6BT+5TT+Methyl+Phenyl,6BT+5TT+Br+Methyl,6BT+4TT+Stannyl+Phenyl,6BT+4TT+Stannyl+Br,6BT+6TT+2H,6BT+6TT+H+Methyl,6BT+5TT+2Phenyl,6BT+5TT+Br+Phenyl,6BT+5TT+2Br,6BT+5TT+Stannyl+H,6BT+6TT+2Methyl,6BT+5TT+Stannyl+Methyl,6BT+4TT+2Stannyl,6BT+6TT+H+Phenyl,6BT+6TT+Br+H,6BT+6TT+Methyl+Phenyl,6BT+6TT+Br+Methyl,6BT+5TT+Stannyl+Phenyl,6BT+5TT+Stannyl+Br,6BT+7TT+2H,6BT+7TT+H+Methyl,6BT+6TT+2Phenyl,6BT+6TT+Br+Phenyl,6BT+6TT+2Br,6BT+6TT+Stannyl+H,6BT+7TT+2Methyl,6BT+6TT+Stannyl+Methyl,6BT+5TT+2Stannyl,6BT+7TT+H+Phenyl,6BT+7TT+Br+H,6BT+7TT+Methyl+Phenyl,6BT+7TT+Br+Methyl,6BT+6TT+Stannyl+Phenyl,6BT+6TT+Stannyl+Br,6BT+8TT+2H,6BT+8TT+H+Methyl,6BT+7TT+2Phenyl,6BT+7TT+Br+Phenyl,6BT+7TT+2Br,6BT+7TT+Stannyl+H,6BT+8TT+2Methyl,6BT+7TT+Stannyl+Methyl,6BT+6TT+2Stannyl
P1,0.0009578894815016,0.0084161044818063,0.0,0.0,0.0066518129253715,0.0012442471169449,0.0,0.0031919292556798,0.0058658351786612,0.0023907393115926,0.0,0.0,-0.0,-0.0,0.0083554488558595,0.0,0.0012883203269448,0.0,-0.0,0.0056620478712871,0.0,-0.0,0.0,0.0,0.0036583336860833,0.0,0.0,0.0,0.0,0.009204061297753,0.0,-0.0,0.0,0.0024340858101316,0.054978799951753,0.0382405993184841,0.0,0.004080374434008,0.001322662348995,0.0,0.0070544747061532,0.0,0.0018390927383616,0.0002250162869016,0.0972035317356448,0.0,0.0370221878925279,0.0,0.0,0.0401208527176944,0.0251353380626188,0.0,0.0047446936726585,0.0380479761583956,0.0,0.0050028905802586,-0.0,-0.0,0.0050532960676344,0.0380528904032476,0.0,0.0150928560632119,0.0,0.0,0.0132427164993008,0.003851563191412,0.0,0.0092623612693797,0.0,0.0,0.0,0.0,0.0,0.0,0.010564926515145,-0.0,0.0026849616491377,0.0,0.0,0.0060136157621674,0.0,0.0,0.0010419514617714,0.0028127788694264,0.0,0.0,0.0,0.0,0.0,0.00481837733213,0.0,0.0,0.0,0.0,0.0032414118207045,0.0,-0.0,0.0,0.0,0.0009851122973877,0.0,0.0,0.0,0.0,0.0039830636259811,0.0,0.0,0.0,0.0,0.0477219562101644,0.0324795813110834,0.0,0.0015996615096807,-0.0,0.0,0.0056850844757531,0.0,0.0015660572120967,0.0020448316435978,0.087098586259873,4.676890606768128e-05,0.0294929946434049,0.0,0.0,0.0354497946885743,0.0193506871987039,0.0,0.0115853750067151,0.0280163994586712,3.370347679176987e-05,0.0032980954210737,0.0,0.0,0.0051711363409136,0.031158990974435,0.0016557678507384,0.011935699860303,0.0,0.0,0.0076178867640125,0.0027349248368357,0.0,0.0070982609246302,0.0,0.0,0.0,0.0,0.0,0.0,0.0067266356687207,0.0,0.0,0.0,0.0,0.0040667369959158,0.0,0.0,0.0004293763672671,0.0013156067091907,0.0,0.0,0.0,0.0
P2,0.0051556479515108,0.0030027141887773,0.0,0.0,0.0050946161954088,0.007464070522204,0.0,0.0009980753811358,0.0037454543121119,0.0,0.002046350672959,0.0,0.0016553082832849,0.0020903914146518,0.001992926233763,0.0012533646764999,0.0008528212121478,0.0,-0.0,0.012311116224628,0.001721715733805,0.0,1.4643514964700668e-05,0.0003717234978037,0.0240440858936326,0.0,0.0123516179031138,0.0040597180664159,0.0057276467401734,0.0071682060484085,0.0,0.0051713612229038,0.0,0.0075763466853961,0.0265282535162259,0.049094272381549,0.0,0.0011372379668513,0.0019536558064277,0.0,0.0249043965052663,0.0002267793852409,0.010347249343507,0.0118919006155573,0.0141689480346587,0.011215271093361,0.0140239693603323,0.0,0.0005704580938343,0.0252728525010974,0.0396242565168269,0.0,0.0028805803582782,0.0023100644076438,0.0,0.017296146793092,0.0012919152189858,0.0063485915397743,0.0109431982672396,0.0095128071481418,0.0093470468580174,0.0081529408344186,0.0,0.0004599574600108,0.0137850130911386,0.0199716789446661,0.0,0.0028974423385189,0.0006038593050911,0.0,0.0074062302087425,0.0,0.0030918990982156,0.0057375130777447,0.0039696662960978,0.0041988243251607,0.0027622419199856,0.0,0.0,0.005076527208807,0.0065804345475319,0.0,0.0010318395037061,0.0039815965004349,0.0,0.0019997007136954,0.0,0.001202844035624,0.0015727171629381,0.0018194245910302,0.0009765006250281,0.0009997693092952,-0.0,0.0,0.0115821634375261,0.0001401854116659,0.0,1.7963706141050635e-05,1.3049624119133634e-05,0.0213977603416814,0.0,0.0104232477122538,0.0039611205691724,0.0049380142332125,0.0057802466677516,0.0,0.004334745932776,0.0,0.0059640910078268,0.0222552895954223,0.0363462757634466,0.0,0.0009479319862894,0.0011787977301697,0.0,0.0179934739781332,0.0,0.0076427163653599,0.0086307330916458,0.0090806001806636,0.0084782586042649,0.0091307455815684,0.0,0.0007935292354616,0.0208611867068462,0.0284203281291624,0.0,0.0028211544454151,0.000665628640926,0.0,0.0128432984223605,0.0005382317161649,0.0043575405093978,0.007465477131881,0.0062286649031117,0.0065438845859397,0.0053793671859864,0.0,0.0,0.0114267689769471,0.0135510465517723,0.0,0.0023081937132805,0.0,0.0,0.0051585406936001,0.0,0.0016792888143176,0.0032919707259444,0.002316310851688,0.0027615016482539,0.0014386736942979,0.0,0.0,0.0043061964271266,0.0039571641739186,0.0,0.0012277419894385,0.0033638975702763,0.0,0.001116390774646,0.0,0.0008105154486003
P3,0.0088040179423116,0.0,0.0,-0.0,0.0108832545182859,0.0340860527055676,0.0,0.0,0.0,0.0,0.0260187671052551,0.0008419944628131,0.0013191364955106,0.0057962587856102,0.0,0.0088391173714067,0.0001156471480953,0.0,0.0,-0.0,0.0221319147734978,0.0,0.0,0.0266577829994888,-0.0,0.0008947925863726,0.0081201249219004,0.0014075713031077,0.0014938877936501,0.0005234028333413,0.0,0.0025223916460209,-0.0,0.0,0.0137866869692247,0.0269736746528604,0.0,0.0,-0.0,0.008439594673517,0.0130825751994843,0.0004655273514855,0.0038580008283623,0.0034065834441106,0.0,0.0039795142976563,0.0,0.0,0.0,0.0171389364176309,0.0364914739563373,0.0,0.0,0.000740141874388,0.0015094894273671,0.0217919481815685,0.0006571939987706,0.0031347538771374,0.0057536976457652,0.0,0.0057990970070395,0.0,0.0,0.0,0.0172975066574639,0.0403538302146148,0.0,0.0021009281604103,0.0,0.0,0.0267567171183567,0.0010313471878524,0.0035669299167166,0.0063343026421217,0.0,0.0072385382916864,0.0,0.0,0.0,0.0126584853714077,0.0364200008207325,0.0,0.0,0.0,0.0,0.0257561774916682,0.0013389526530632,0.004524499300518,0.0060949939556447,0.0001949723856988,0.007859839530798,0.0,0.0,-0.0,-0.0,0.0195934974326195,0.0,0.0,0.022690808601125,-0.0,0.0013701538504541,0.0040430282405006,0.0009141638694913,-0.0,-0.0,-0.0,0.0014601699506449,-0.0,0.0,-0.0,0.0,0.0,0.0120829436939382,-0.0,0.0082693862117386,0.0076531874740505,0.0001158938187596,0.0020577214413795,0.0022374832707159,0.0,0.0022949077328203,0.0,0.0,0.0,0.0137409697050213,0.0287811097525885,0.0,0.0,0.0,0.0009124709314378,0.0161912499137135,0.0007089519515315,0.0021029118692311,0.0038958301832503,0.0,0.0038169000244253,0.0,0.0,0.0,0.0144665408728377,0.033741415354735,0.0,9.001612703728877e-05,0.0,0.0,0.0212056937965024,0.0009252134547698,0.0031063669560688,0.0043199937068166,0.0,0.0051596633290565,0.0,0.0,0.0,0.0110429143938074,0.0313474683327774,0.0,0.0,0.0,0.0,0.0216902708305618,0.0013380216266203,0.0026121947442586
P3 7p,0.0103523699895574,0.0,0.0,-0.0,0.0095039795128517,0.034603605036674,0.0,0.0,0.0,0.0,0.0291102853293138,0.000816921152629,0.0014304624883467,0.0049638963113844,0.0,0.0083542756072817,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0265265434959688,-0.0,0.0004666614742445,0.009913458830647,0.0026472393404176,0.0015402447578897,0.0002307980919506,-0.0,0.0023876693898906,0.0,0.0,0.0173545152043162,0.0362251114418653,0.0,0.0,0.0,0.0013465806069032,0.0213744294012159,0.0001304024636563,0.0049020624257659,0.0047008310459669,0.0,0.0049404823607912,0.0,0.0,-0.0,0.0184667094157571,0.0445800074369666,0.0,0.0,0.0007172373733902,0.0,0.0302078045297786,0.0008768274820168,0.0035460579982238,0.0060519620969475,0.0,0.0072347494717734,0.0,0.0,0.0,0.0163814675048493,0.0402880385564001,0.0,0.0056130601341437,-0.0,0.0,0.0312498845008717,0.0009641712133268,0.0029861532310072,0.005564789716861,0.0,0.0075277868078496,0.0,0.0,0.0,0.0092765620962287,0.0311672749646151,0.0,0.0,0.0,0.0,0.0246190108620188,0.0011535706896492,0.0026441274442706,0.0040219694431581,0.0,0.0063108292302789,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0149648754885829,-0.0,0.0006887257023689,0.0079763648122542,0.0021542456174671,0.0007517843317239,0.0003184548525369,-0.0,0.001714819370926,0.0,0.0,0.0107223466013497,0.0247910826756507,0.0,0.0,0.0,0.0042059366217939,0.0125472007059444,0.0,0.0036446903733493,0.0029893672495237,0.0,0.0031598943100355,0.0,0.0,0.0,0.0131348635906331,0.0301690373950236,0.0,0.0,0.0,4.6562165332616114e-05,0.020105194905659,0.0007756796002686,0.0025800363190189,0.0036377859877948,0.0,0.0044717575034496,0.0,0.0,0.0,0.0116995921514301,0.0294124826654192,0.0,0.0024952771856641,0.0,0.0,0.0216241032938784,0.0006873700731781,0.0032862792894476,0.0033250474036393,0.0,0.0046788443842092,0.0,0.0,0.0,0.0058248385162943,0.0227710613215634,0.0,0.0,0.0,0.0,0.0169568567844645,0.0008397768422412,0.00185692830019
