,P3_7p
6BT+7TT+H+Methyl,0.027916119083706007
6BT+6TT+2Phenyl,0.0
6BT+6TT+Br+Phenyl,0.002333567828913023
6BT+6TT+2Br,0.0
6BT+6TT+Stannyl+H,0.0
6BT+7TT+2Methyl,0.02047609685879705
6BT+6TT+Stannyl+Methyl,0.0014745857179787535
6BT+5TT+2Stannyl,0.004096792291566482
6BT+7TT+H+Phenyl,0.0042089911907034604
6BT+7TT+Br+H,1.2088191472395568e-05
6BT+7TT+Methyl+Phenyl,0.0052655733735473284
6BT+7TT+Br+Methyl,-0.0
6BT+6TT+Stannyl+Phenyl,0.0
6BT+6TT+Stannyl+Br,0.0
6BT+8TT+2H,0.006788467070779339
6BT+8TT+H+Methyl,0.01932835735377212
6BT+7TT+2Phenyl,0.0
6BT+7TT+Br+Phenyl,0.0
6BT+7TT+2Br,0.0
6BT+7TT+Stannyl+H,0.0
6BT+8TT+2Methyl,0.01525233802060899
6BT+7TT+Stannyl+Methyl,0.0012691904234755985
6BT+6TT+2Stannyl,-0.0
