,P3_7p
5BT+5TT+2Phenyl,0.036219130094557246
5BT+5TT+Br+Phenyl,0.00623191070083066
5BT+5TT+2Br,0.0
5BT+5TT+Stannyl+H,0.0
6BT+2TT+H+Methyl,-0.0
6BT+1TT+2Phenyl,-0.0
6BT+1TT+Br+Phenyl,0.0
6BT+1TT+2Br,0.0
6BT+1TT+Stannyl+H,0.0
4BT+9TT+Stannyl+Methyl,0.0
5BT+6TT+2Methyl,0.02892587415120081
5BT+5TT+Stannyl+Methyl,0.000986096757517196
6BT+2TT+2Methyl,0.0007782481175493573
4BT+8TT+2Stannyl,0.0003776751258680838
6BT+1TT+Stannyl+Methyl,0.0021923264961830006
5BT+4TT+2Stannyl,0.004282473306878062
5BT+6TT+H+Phenyl,0.00630650377590928
5BT+6TT+Br+H,0.0002239644482854581
6BT+2TT+H+Phenyl,-0.0
6BT+2TT+Br+H,0.0
4BT+9TT+Stannyl+Phenyl,0.0
5BT+6TT+Methyl+Phenyl,0.007777427724299789
4BT+9TT+Stannyl+Br,0.0
5BT+6TT+Br+Methyl,0.00013511929767661803
5BT+5TT+Stannyl+Phenyl,0.0
6BT+2TT+Methyl+Phenyl,-0.0
5BT+5TT+Stannyl+Br,0.0
6BT+2TT+Br+Methyl,0.0
6BT+1TT+Stannyl+Phenyl,0.0
6BT+1TT+Stannyl+Br,0.0008315611265382539
5BT+7TT+2H,0.009950267728846562
6BT+3TT+2H,0.0
5BT+7TT+H+Methyl,-0.0
5BT+6TT+2Phenyl,0.030017777613370024
5BT+6TT+Br+Phenyl,0.0
5BT+6TT+2Br,0.0
5BT+6TT+Stannyl+H,0.0
6BT+3TT+H+Methyl,0.0
6BT+2TT+2Phenyl,0.0
6BT+2TT+Br+Phenyl,0.0
6BT+2TT+2Br,0.0
6BT+2TT+Stannyl+H,0.0
5BT+7TT+2Methyl,0.02320734245234959
5BT+6TT+Stannyl+Methyl,0.0
6BT+3TT+2Methyl,-0.0
4BT+9TT+2Stannyl,0.004221496406897762
6BT+2TT+Stannyl+Methyl,-0.0
5BT+5TT+2Stannyl,0.0017549373344042235
6BT+1TT+2Stannyl,0.0
5BT+7TT+H+Phenyl,0.00410208798575969
5BT+7TT+Br+H,0.0
6BT+3TT+H+Phenyl,0.0
6BT+3TT+Br+H,0.0
5BT+7TT+Methyl+Phenyl,0.006052975125131873
5BT+7TT+Br+Methyl,0.00023740566653761817
5BT+6TT+Stannyl+Phenyl,0.0
6BT+3TT+Methyl+Phenyl,1.069380539238351e-05
5BT+6TT+Stannyl+Br,0.0
6BT+3TT+Br+Methyl,0.0
6BT+2TT+Stannyl+Phenyl,0.0
6BT+2TT+Stannyl+Br,0.0004947279242665657
5BT+8TT+2H,-0.0
6BT+4TT+2H,-0.0
5BT+8TT+H+Methyl,0.0
5BT+7TT+2Phenyl,0.015783205318356825
5BT+7TT+Br+Phenyl,0.0
5BT+7TT+2Br,0.0
5BT+7TT+Stannyl+H,0.0010721368874972578
6BT+4TT+H+Methyl,0.0
6BT+3TT+2Phenyl,0.0
6BT+3TT+Br+Phenyl,-0.0
6BT+3TT+2Br,-0.0
6BT+3TT+Stannyl+H,0.0
5BT+8TT+2Methyl,0.013210957292258617
5BT+7TT+Stannyl+Methyl,0.0013341670546219353
6BT+4TT+2Methyl,0.004715889090064749
6BT+3TT+Stannyl+Methyl,0.0
5BT+6TT+2Stannyl,0.0
6BT+2TT+2Stannyl,0.0012450326618189014
5BT+8TT+H+Phenyl,0.0019028471190040443
5BT+8TT+Br+H,0.0
6BT+4TT+H+Phenyl,0.0
6BT+4TT+Br+H,-0.0
5BT+8TT+Methyl+Phenyl,0.0037894935764069223
5BT+8TT+Br+Methyl,0.0
5BT+7TT+Stannyl+Phenyl,0.0
6BT+4TT+Methyl+Phenyl,0.0012537579665913244
5BT+7TT+Stannyl+Br,0.0
6BT+4TT+Br+Methyl,0.0
6BT+3TT+Stannyl+Phenyl,0.0
6BT+3TT+Stannyl+Br,-0.0
5BT+9TT+2H,-0.0
6BT+5TT+2H,0.01148609724394368
5BT+9TT+H+Methyl,-0.0
5BT+8TT+2Phenyl,-0.0
5BT+8TT+Br+Phenyl,0.0
5BT+8TT+2Br,0.0
5BT+8TT+Stannyl+H,0.0
6BT+5TT+H+Methyl,0.02304070938584387
6BT+4TT+2Phenyl,-0.0
6BT+4TT+Br+Phenyl,0.0
6BT+4TT+2Br,0.0
6BT+4TT+Stannyl+H,0.0
5BT+9TT+2Methyl,0.006796664030146418
5BT+8TT+Stannyl+Methyl,0.0003106370666797795
6BT+5TT+2Methyl,0.0128060720507992
6BT+4TT+Stannyl+Methyl,0.0
5BT+7TT+2Stannyl,-0.0
6BT+3TT+2Stannyl,0.0029083853227456
5BT+9TT+H+Phenyl,0.0
5BT+9TT+Br+H,0.0
6BT+5TT+H+Phenyl,0.0030620768019682275
6BT+5TT+Br+H,0.0
5BT+9TT+Methyl+Phenyl,0.001705380487821937
5BT+9TT+Br+Methyl,0.0
5BT+8TT+Stannyl+Phenyl,0.0
6BT+5TT+Methyl+Phenyl,0.003172788350651435
5BT+8TT+Stannyl+Br,0.0
6BT+5TT+Br+Methyl,0.0
6BT+4TT+Stannyl+Phenyl,0.0
6BT+4TT+Stannyl+Br,-0.0
5BT+10TT+2H,-0.0
6BT+6TT+2H,0.012969593973874923
7BT+2TT+2H,-0.0
5BT+10TT+H+Methyl,0.0
5BT+9TT+2Phenyl,0.0
5BT+9TT+Br+Phenyl,0.0
5BT+9TT+2Br,0.0
5BT+9TT+Stannyl+H,0.0
6BT+6TT+H+Methyl,0.028999747978282635
6BT+5TT+2Phenyl,-0.0
6BT+5TT+Br+Phenyl,0.0
6BT+5TT+2Br,0.0
6BT+5TT+Stannyl+H,0.0
7BT+2TT+H+Methyl,-0.0
5BT+10TT+2Methyl,0.0006575355406214022
5BT+9TT+Stannyl+Methyl,0.0
6BT+6TT+2Methyl,0.019157209099663525
6BT+5TT+Stannyl+Methyl,0.0012730138471243142
7BT+2TT+2Methyl,7.948598599466547e-05
5BT+8TT+2Stannyl,0.0010048435833917217
6BT+4TT+2Stannyl,0.002617743136798058
5BT+10TT+H+Phenyl,-0.0
5BT+10TT+Br+H,-0.0
6BT+6TT+H+Phenyl,0.004258222837337404
6BT+6TT+Br+H,0.0
7BT+2TT+H+Phenyl,0.0
7BT+2TT+Br+H,0.00037146081065538846
5BT+10TT+Methyl+Phenyl,0.0
5BT+10TT+Br+Methyl,0.0
5BT+9TT+Stannyl+Phenyl,0.0
6BT+6TT+Methyl+Phenyl,0.005029773548629584
5BT+9TT+Stannyl+Br,0.0
6BT+6TT+Br+Methyl,0.0
6BT+5TT+Stannyl+Phenyl,0.0
7BT+2TT+Methyl+Phenyl,0.0
6BT+5TT+Stannyl+Br,-0.0
7BT+2TT+Br+Methyl,0.0
6BT+7TT+2H,0.011581447591363432
7BT+3TT+2H,0.0
5BT+10TT+2Phenyl,0.0
5BT+10TT+Br+Phenyl,0.0
5BT+10TT+2Br,-0.0
5BT+10TT+Stannyl+H,0.0
6BT+7TT+H+Methyl,0.027901409245438973
6BT+6TT+2Phenyl,-0.0
6BT+6TT+Br+Phenyl,0.002382298383603242
6BT+6TT+2Br,0.0
6BT+6TT+Stannyl+H,0.0
7BT+3TT+H+Methyl,-0.0
7BT+2TT+2Phenyl,-0.0
7BT+2TT+Br+Phenyl,0.0
7BT+2TT+2Br,0.0
7BT+2TT+Stannyl+H,0.0
5BT+10TT+Stannyl+Methyl,0.0
6BT+7TT+2Methyl,0.020454083566113817
6BT+6TT+Stannyl+Methyl,0.0010916930577182977
7BT+3TT+2Methyl,0.00045238086513646545
5BT+9TT+2Stannyl,-0.0
7BT+2TT+Stannyl+Methyl,0.0010789437205768432
6BT+5TT+2Stannyl,0.0038276268123480037
6BT+7TT+H+Phenyl,0.0042140831067258465
6BT+7TT+Br+H,1.2088606851299586e-05
7BT+3TT+H+Phenyl,-0.0
7BT+3TT+Br+H,0.0
5BT+10TT+Stannyl+Phenyl,0.0
6BT+7TT+Methyl+Phenyl,0.005271900368110923
5BT+10TT+Stannyl+Br,0.0
6BT+7TT+Br+Methyl,-0.0
6BT+6TT+Stannyl+Phenyl,0.0
7BT+3TT+Methyl+Phenyl,-0.0
6BT+6TT+Stannyl+Br,0.0
7BT+3TT+Br+Methyl,0.0
7BT+2TT+Stannyl+Phenyl,0.0
7BT+2TT+Stannyl+Br,-0.0
6BT+8TT+2H,0.006789784353535591
7BT+4TT+2H,0.0
6BT+8TT+H+Methyl,0.00781256709107064
6BT+7TT+2Phenyl,0.011661264225190707
6BT+7TT+Br+Phenyl,0.0
6BT+7TT+2Br,0.0
6BT+7TT+Stannyl+H,0.0
7BT+4TT+H+Methyl,0.0
7BT+3TT+2Phenyl,0.0
7BT+3TT+Br+Phenyl,0.0
7BT+3TT+2Br,0.0
7BT+3TT+Stannyl+H,-0.0
6BT+8TT+2Methyl,0.015259283998970271
6BT+7TT+Stannyl+Methyl,0.0007016352023875949
7BT+4TT+2Methyl,-0.0
5BT+10TT+2Stannyl,0.0006596618618200894
7BT+3TT+Stannyl+Methyl,0.001130041010012314
6BT+6TT+2Stannyl,-0.0
7BT+2TT+2Stannyl,0.0
