,P1
6BT+2TT+H+Methyl,0.0001706924475799285
6BT+1TT+2Phenyl,0.0
6BT+1TT+Br+Phenyl,0.0
6BT+1TT+2Br,0.0
6BT+1TT+Stannyl+H,0.00032397238182947115
4BT+9TT+Stannyl+Methyl,0.0
5BT+6TT+2Methyl,0.0
5BT+5TT+Stannyl+Methyl,0.0
6BT+2TT+2Methyl,0.0
4BT+8TT+2Stannyl,0.0
6BT+1TT+Stannyl+Methyl,0.0
5BT+4TT+2Stannyl,0.0
5BT+6TT+H+Phenyl,0.0006756281465958192
5BT+6TT+Br+H,-0.0
6BT+2TT+H+Phenyl,0.008750932150968298
6BT+2TT+Br+H,0.0026542349964437644
4BT+9TT+Stannyl+Phenyl,0.000710435133894311
5BT+6TT+Methyl+Phenyl,0.0
4BT+9TT+Stannyl+Br,0.0
5BT+6TT+Br+Methyl,-0.0
5BT+5TT+Stannyl+Phenyl,0.0
6BT+2TT+Methyl+Phenyl,0.0024812604021484815
5BT+5TT+Stannyl+Br,0.0
6BT+2TT+Br+Methyl,0.0
6BT+1TT+Stannyl+Phenyl,0.0
6BT+1TT+Stannyl+Br,0.0
5BT+7TT+2H,-0.0
6BT+3TT+2H,0.005918394102708982
5BT+7TT+H+Methyl,0.0
5BT+6TT+2Phenyl,0.0002576246873273395
5BT+6TT+Br+Phenyl,0.0002681464956665977
5BT+6TT+2Br,0.0
5BT+6TT+Stannyl+H,0.0
6BT+3TT+H+Methyl,0.001979812944547337
6BT+2TT+2Phenyl,0.0
6BT+2TT+Br+Phenyl,0.0007340212185168726
6BT+2TT+2Br,0.00021583105076455444
6BT+2TT+Stannyl+H,0.0
5BT+7TT+2Methyl,0.0
5BT+6TT+Stannyl+Methyl,0.0
6BT+3TT+2Methyl,0.0
4BT+9TT+2Stannyl,0.0
6BT+2TT+Stannyl+Methyl,0.0
5BT+5TT+2Stannyl,0.0
6BT+1TT+2Stannyl,0.0
5BT+7TT+H+Phenyl,0.0
5BT+7TT+Br+H,-0.0
6BT+3TT+H+Phenyl,0.003725559015995994
6BT+3TT+Br+H,0.002434217524617723
5BT+7TT+Methyl+Phenyl,0.0
5BT+7TT+Br+Methyl,0.0
5BT+6TT+Stannyl+Phenyl,0.0
6BT+3TT+Methyl+Phenyl,0.0
5BT+6TT+Stannyl+Br,0.0
6BT+3TT+Br+Methyl,0.0
6BT+2TT+Stannyl+Phenyl,0.0
6BT+2TT+Stannyl+Br,0.0
5BT+8TT+2H,-0.0
6BT+4TT+2H,0.0032530590181232264
5BT+8TT+H+Methyl,0.0
5BT+7TT+2Phenyl,0.0
5BT+7TT+Br+Phenyl,-0.0
5BT+7TT+2Br,0.0
5BT+7TT+Stannyl+H,0.0
6BT+4TT+H+Methyl,-0.0
6BT+3TT+2Phenyl,0.000992811340022079
6BT+3TT+Br+Phenyl,0.0
6BT+3TT+2Br,0.0
6BT+3TT+Stannyl+H,0.0
5BT+8TT+2Methyl,0.0
5BT+7TT+Stannyl+Methyl,0.0
6BT+4TT+2Methyl,0.0
6BT+3TT+Stannyl+Methyl,0.0
5BT+6TT+2Stannyl,0.0
6BT+2TT+2Stannyl,0.0
5BT+8TT+H+Phenyl,-0.0
5BT+8TT+Br+H,0.0
6BT+4TT+H+Phenyl,0.0
6BT+4TT+Br+H,0.004014383185740777
5BT+8TT+Methyl+Phenyl,0.0
5BT+8TT+Br+Methyl,0.0
5BT+7TT+Stannyl+Phenyl,0.0
6BT+4TT+Methyl+Phenyl,0.0
5BT+7TT+Stannyl+Br,0.0
6BT+4TT+Br+Methyl,0.0
6BT+3TT+Stannyl+Phenyl,0.0
6BT+3TT+Stannyl+Br,0.0
5BT+9TT+2H,-0.0
6BT+5TT+2H,0.04792270735887585
5BT+9TT+H+Methyl,0.0
5BT+8TT+2Phenyl,0.0
5BT+8TT+Br+Phenyl,0.0
5BT+8TT+2Br,0.008441334052698295
5BT+8TT+Stannyl+H,0.0
6BT+5TT+H+Methyl,0.0
6BT+4TT+2Phenyl,0.0260576177049816
6BT+4TT+Br+Phenyl,0.0
6BT+4TT+2Br,0.0
6BT+4TT+Stannyl+H,0.0
5BT+9TT+2Methyl,0.0
5BT+8TT+Stannyl+Methyl,0.0
6BT+5TT+2Methyl,0.005708999824845467
6BT+4TT+Stannyl+Methyl,0.0
5BT+7TT+2Stannyl,0.0008631796288074645
6BT+3TT+2Stannyl,0.0004676210049679287
5BT+9TT+H+Phenyl,0.0
5BT+9TT+Br+H,0.0
6BT+5TT+H+Phenyl,0.002044831643597808
6BT+5TT+Br+H,0.08709858625987305
5BT+9TT+Methyl+Phenyl,0.0
5BT+9TT+Br+Methyl,0.0
5BT+8TT+Stannyl+Phenyl,-0.0
6BT+5TT+Methyl+Phenyl,4.6768906067681275e-05
5BT+8TT+Stannyl+Br,0.0
6BT+5TT+Br+Methyl,0.02949299464340499
6BT+4TT+Stannyl+Phenyl,0.0
6BT+4TT+Stannyl+Br,0.0
5BT+10TT+2H,0.00035479810284509244
6BT+6TT+2H,0.03524396588425035
7BT+2TT+2H,0.0
5BT+10TT+H+Methyl,0.0
5BT+9TT+2Phenyl,0.0
5BT+9TT+Br+Phenyl,0.0
5BT+9TT+2Br,0.02429786856526727
5BT+9TT+Stannyl+H,-0.0
6BT+6TT+H+Methyl,0.0
6BT+5TT+2Phenyl,0.005694387522322034
6BT+5TT+Br+Phenyl,0.0005520059531001031
6BT+5TT+2Br,0.028576634336738335
6BT+5TT+Stannyl+H,0.0
7BT+2TT+H+Methyl,-0.0
5BT+10TT+2Methyl,0.0
5BT+9TT+Stannyl+Methyl,0.0
6BT+6TT+2Methyl,0.003292694065738182
6BT+5TT+Stannyl+Methyl,0.0
7BT+2TT+2Methyl,-0.0
5BT+8TT+2Stannyl,0.0
6BT+4TT+2Stannyl,0.0
