,P1,P2,P3,P3 7p
3BT+8TT,0.4618304908667205,0.0,0.4337363832103852,0.4482962924630891
4BT+4TT,0.0,0.0,0.0,0.0
4BT+5TT,0.0,1.3141832387582522,1.0225520790053007,1.2022315966496566
4BT+6TT,0.4656467235656116,2.69729431908611,9.815786817095033,10.46710837463488
4BT+7TT,1.4545174241738825,0.8793693634299882,8.058289504915196,6.104786606068399
4BT+8TT,1.406353213775454,0.0,3.582033757366819,1.532036696789261
4BT+9TT,1.1294903995715035,0.24262021831141742,0.7048336587040668,0.6520725272119963
5BT+0TT,0.0,0.0,0.0,0.0
5BT+10TT,0.8222254935001583,0.28508037811091247,0.0,0.0
5BT+1TT,0.9440347724266536,0.0,0.0,0.0
5BT+2TT,2.7535472735568844,1.3999381870087793,0.6579614547230384,0.6845811061898064
5BT+3TT,2.2937317623650406,9.316662305129066,0.45589228593084075,1.144992325835954
5BT+4TT,29.00500914636857,19.151630187874957,6.737206019477711,9.654307391694026
5BT+5TT,13.714125163328832,14.836713432736623,10.634320680261787,13.017409799288371
5BT+6TT,0.8900827842491297,7.342903870239967,11.422909646766355,11.781003831958536
5BT+7TT,0.0,2.006399568809459,10.341299143111698,8.755614752532011
5BT+8TT,1.6349481997554094,0.4092500226434077,7.2831346962298955,4.052665295836809
5BT+9TT,3.4103303035250274,0.0,1.6060650884844725,0.7980332546788214
6BT+1TT,0.0,0.0,0.33749195352307787,0.3199289231036965
6BT+2TT,1.8700132378276477,0.0,0.0,0.0
6BT+3TT,1.3310956698948924,1.2933713256781383,0.0,0.0
6BT+4TT,0.8026053054403792,8.012023962626277,1.2219838203707833,0.5678759634069463
6BT+5TT,23.920839314636567,13.734657416751727,1.3239628270658028,6.584277092146948
6BT+6TT,9.864019423589282,10.79705225716298,7.675324269004637,8.639556501395171
6BT+7TT,0.8125305683742688,4.629247851370151,9.179108636469822,8.271447249919726
6BT+8TT,0.0,0.9365941300677428,7.506107278283281,5.321774418195876
7BT+2TT,0.0,0.0,0.0,0.0
7BT+3TT,0.7182354481702593,0.0,0.0,0.0
7BT+4TT,0.29478788103783893,0.7150079642040472,0.0,0.0
