,P2
4BT+9TT+2Br,-0.0
4BT+9TT+Stannyl+H,-0.0
5BT+6TT+H+Methyl,0.019992948501868273
5BT+5TT+2Phenyl,0.0
5BT+5TT+Br+Phenyl,0.0029005280738326664
5BT+5TT+2Br,0.0006045024067896392
5BT+5TT+Stannyl+H,0.0
6BT+2TT+H+Methyl,0.0
6BT+1TT+2Phenyl,0.0
6BT+1TT+Br+Phenyl,-0.0
6BT+1TT+2Br,0.0
6BT+1TT+Stannyl+H,0.0
4BT+9TT+Stannyl+Methyl,0.0
5BT+6TT+2Methyl,0.0074131017076930015
5BT+5TT+Stannyl+Methyl,0.0
6BT+2TT+2Methyl,1.9589035030117846e-05
4BT+8TT+2Stannyl,0.00186353476600879
6BT+1TT+Stannyl+Methyl,0.0
5BT+4TT+2Stannyl,0.002148095872972905
5BT+6TT+H+Phenyl,0.005713976023163442
5BT+6TT+Br+H,0.003953381496219309
6BT+2TT+H+Phenyl,-0.0
6BT+2TT+Br+H,0.0
4BT+9TT+Stannyl+Phenyl,0.0
5BT+6TT+Methyl+Phenyl,0.0041815994481046725
4BT+9TT+Stannyl+Br,0.0
5BT+6TT+Br+Methyl,0.002750910348644999
5BT+5TT+Stannyl+Phenyl,0.0
6BT+2TT+Methyl+Phenyl,-0.0
5BT+5TT+Stannyl+Br,0.0
6BT+2TT+Br+Methyl,0.0
6BT+1TT+Stannyl+Phenyl,0.0
6BT+1TT+Stannyl+Br,0.0007994883913924502
5BT+7TT+2H,0.004935492689556005
6BT+3TT+2H,0.0019209660428757894
5BT+7TT+H+Methyl,0.006510899320262448
5BT+6TT+2Phenyl,0.0
5BT+6TT+Br+Phenyl,0.0
5BT+6TT+2Br,-0.0
5BT+6TT+Stannyl+H,0.0
6BT+3TT+H+Methyl,0.004740477640383373
6BT+2TT+2Phenyl,0.0
6BT+2TT+Br+Phenyl,3.6157580074153447e-06
6BT+2TT+2Br,0.0
6BT+2TT+Stannyl+H,0.0
5BT+7TT+2Methyl,0.0017599278281652015
5BT+6TT+Stannyl+Methyl,0.0
6BT+3TT+2Methyl,0.002070246441205648
4BT+9TT+2Stannyl,0.00023125103733388352
6BT+2TT+Stannyl+Methyl,0.0
5BT+5TT+2Stannyl,0.001058579767791004
6BT+1TT+2Stannyl,0.0
5BT+7TT+H+Phenyl,0.0018844432114654929
5BT+7TT+Br+H,-0.0
6BT+3TT+H+Phenyl,0.001198808975561383
6BT+3TT+Br+H,0.0014817524150870967
5BT+7TT+Methyl+Phenyl,0.0009040975672328216
5BT+7TT+Br+Methyl,0.0
5BT+6TT+Stannyl+Phenyl,0.0
6BT+3TT+Methyl+Phenyl,0.00127616174736624
5BT+6TT+Stannyl+Br,0.0
6BT+3TT+Br+Methyl,0.0011821402346021746
6BT+2TT+Stannyl+Phenyl,0.0
6BT+2TT+Stannyl+Br,-0.0
5BT+8TT+2H,0.0013444321778018538
6BT+4TT+2H,0.011136965320672468
5BT+8TT+H+Methyl,0.001066760678367207
5BT+7TT+2Phenyl,0.0
5BT+7TT+Br+Phenyl,0.0
5BT+7TT+2Br,0.0
5BT+7TT+Stannyl+H,0.0
6BT+4TT+H+Methyl,0.020890652514530126
6BT+3TT+2Phenyl,0.0
6BT+3TT+Br+Phenyl,0.00011437327367244202
6BT+3TT+2Br,-0.0
6BT+3TT+Stannyl+H,0.0
5BT+8TT+2Methyl,-0.0
5BT+7TT+Stannyl+Methyl,0.0
6BT+4TT+2Methyl,0.010330520745579391
6BT+3TT+Stannyl+Methyl,0.0
5BT+6TT+2Stannyl,0.002936525004368855
6BT+2TT+2Stannyl,0.0016123767509764982
5BT+8TT+H+Phenyl,0.00012171391901009974
5BT+8TT+Br+H,0.0
6BT+4TT+H+Phenyl,0.00489608917452849
6BT+4TT+Br+H,0.00580190008309497
5BT+8TT+Methyl+Phenyl,0.0
5BT+8TT+Br+Methyl,-0.0
5BT+7TT+Stannyl+Phenyl,-0.0
6BT+4TT+Methyl+Phenyl,0.004341380233095381
5BT+7TT+Stannyl+Br,0.0
6BT+4TT+Br+Methyl,0.0059732556110067905
6BT+3TT+Stannyl+Phenyl,0.0
6BT+3TT+Stannyl+Br,0.0
5BT+9TT+2H,0.0016361238419688635
6BT+5TT+2H,0.021837229540822584
5BT+9TT+H+Methyl,0.0003471474468308986
5BT+8TT+2Phenyl,0.0
5BT+8TT+Br+Phenyl,0.0
5BT+8TT+2Br,-0.0
5BT+8TT+Stannyl+H,-0.0
6BT+5TT+H+Methyl,0.03582134998612127
6BT+4TT+2Phenyl,0.0
6BT+4TT+Br+Phenyl,0.0011948265530526685
6BT+4TT+2Br,0.0011014967917884247
6BT+4TT+Stannyl+H,0.0
5BT+9TT+2Methyl,0.0
5BT+8TT+Stannyl+Methyl,-0.0
6BT+5TT+2Methyl,0.017859314693997486
6BT+4TT+Stannyl+Methyl,0.0
5BT+7TT+2Stannyl,0.005150992154291868
6BT+3TT+2Stannyl,0.0038883316263737706
5BT+9TT+H+Phenyl,-0.0
5BT+9TT+Br+H,-0.0
6BT+5TT+H+Phenyl,0.008625349977765585
6BT+5TT+Br+H,0.00907493647809346
5BT+9TT+Methyl+Phenyl,0.0
5BT+9TT+Br+Methyl,-0.0
5BT+8TT+Stannyl+Phenyl,-0.0
6BT+5TT+Methyl+Phenyl,0.008576317169101219
5BT+8TT+Stannyl+Br,0.0
6BT+5TT+Br+Methyl,0.009061060338295061
6BT+4TT+Stannyl+Phenyl,0.0
6BT+4TT+Stannyl+Br,0.0007932693813612441
5BT+10TT+2H,0.002358248390157048
6BT+6TT+2H,0.020246783520990876
7BT+2TT+2H,0.0
5BT+10TT+H+Methyl,8.384374983821968e-05
5BT+9TT+2Phenyl,0.0
5BT+9TT+Br+Phenyl,0.0
5BT+9TT+2Br,0.000292315650196996
5BT+9TT+Stannyl+H,-0.0
6BT+6TT+H+Methyl,0.02830956904056889
6BT+5TT+2Phenyl,0.0
6BT+5TT+Br+Phenyl,0.0027605873991775635
6BT+5TT+2Br,0.0005903704938589686
6BT+5TT+Stannyl+H,0.0
7BT+2TT+H+Methyl,0.0
5BT+10TT+2Methyl,0.0
5BT+9TT+Stannyl+Methyl,0.0
6BT+6TT+2Methyl,0.012916758035590652
6BT+5TT+Stannyl+Methyl,0.0
7BT+2TT+2Methyl,-0.0
5BT+8TT+2Stannyl,0.0033854073488532787
6BT+4TT+2Stannyl,0.002906483236296129
5BT+10TT+H+Phenyl,0.0
5BT+10TT+Br+H,0.0
6BT+6TT+H+Phenyl,0.007453627043566393
6BT+6TT+Br+H,0.006218778029472425
7BT+2TT+H+Phenyl,0.0
7BT+2TT+Br+H,0.0
5BT+10TT+Methyl+Phenyl,0.0
5BT+10TT+Br+Methyl,0.0
5BT+9TT+Stannyl+Phenyl,0.0
6BT+6TT+Methyl+Phenyl,0.006533497358330198
5BT+9TT+Stannyl+Br,0.0
6BT+6TT+Br+Methyl,0.0053708284181389196
6BT+5TT+Stannyl+Phenyl,0.0
7BT+2TT+Methyl+Phenyl,0.0
6BT+5TT+Stannyl+Br,0.0
7BT+2TT+Br+Methyl,0.0
6BT+7TT+2H,0.011412027042502913
7BT+3TT+2H,0.0
5BT+10TT+2Phenyl,0.0
5BT+10TT+Br+Phenyl,0.0
5BT+10TT+2Br,0.0001744131593585507
5BT+10TT+Stannyl+H,0.0
6BT+7TT+H+Methyl,0.013443141407714562
6BT+6TT+2Phenyl,0.0
6BT+6TT+Br+Phenyl,0.002265779897121142
6BT+6TT+2Br,0.0
6BT+6TT+Stannyl+H,0.0
7BT+3TT+H+Methyl,0.0
7BT+2TT+2Phenyl,0.0
7BT+2TT+Br+Phenyl,0.0
7BT+2TT+2Br,0.0
7BT+2TT+Stannyl+H,-0.0
5BT+10TT+Stannyl+Methyl,0.0
6BT+7TT+2Methyl,0.005151898152191065
6BT+6TT+Stannyl+Methyl,0.0
7BT+3TT+2Methyl,0.0
5BT+9TT+2Stannyl,0.0011665698745261144
7BT+2TT+Stannyl+Methyl,0.0
6BT+5TT+2Stannyl,0.0010818547228407952
6BT+7TT+H+Phenyl,0.003268888138419485
6BT+7TT+Br+H,0.0023000693804194066
7BT+3TT+H+Phenyl,-0.0
7BT+3TT+Br+H,0.0
5BT+10TT+Stannyl+Phenyl,0.0
6BT+7TT+Methyl+Phenyl,0.002718145282737935
5BT+10TT+Stannyl+Br,0.0
6BT+7TT+Br+Methyl,0.0014691741318890743
6BT+6TT+Stannyl+Phenyl,0.0
7BT+3TT+Methyl+Phenyl,-0.0
6BT+6TT+Stannyl+Br,0.0
7BT+3TT+Br+Methyl,0.0
7BT+2TT+Stannyl+Phenyl,0.0
7BT+2TT+Stannyl+Br,0.0004481654663812348
6BT+8TT+2H,0.0036743880608113536
7BT+4TT+2H,0.001775258669602672
6BT+8TT+H+Methyl,0.0040733272119790375
6BT+7TT+2Phenyl,0.0
6BT+7TT+Br+Phenyl,0.0
6BT+7TT+2Br,0.0005576693270911516
6BT+7TT+Stannyl+H,0.0
7BT+4TT+H+Methyl,0.003775930703845009
7BT+3TT+2Phenyl,0.0
7BT+3TT+Br+Phenyl,0.0
7BT+3TT+2Br,0.0
7BT+3TT+Stannyl+H,0.0
6BT+8TT+2Methyl,0.0008151647207800831
6BT+7TT+Stannyl+Methyl,0.0
7BT+4TT+2Methyl,0.0021387744460044803
5BT+10TT+2Stannyl,-0.0
7BT+3TT+Stannyl+Methyl,0.0
6BT+6TT+2Stannyl,0.0008014127884447785
7BT+2TT+2Stannyl,0.0
