,P2
2BT+12TT+Stannyl+Phenyl,0.0
3BT+9TT+Methyl+Phenyl,-0.0
2BT+12TT+Stannyl+Br,0.0
3BT+9TT+Br+Methyl,0.0
3BT+8TT+Stannyl+Phenyl,0.0
4BT+5TT+Methyl+Phenyl,0.005071209454510718
3BT+8TT+Stannyl+Br,0.0
4BT+5TT+Br+Methyl,0.0029535361464755627
4BT+4TT+Stannyl+Phenyl,0.0
5BT+1TT+Methyl+Phenyl,0.0
4BT+4TT+Stannyl+Br,0.0
5BT+1TT+Br+Methyl,0.0
5BT+0TT+Stannyl+Phenyl,0.0
5BT+0TT+Stannyl+Br,0.0013942931300229193
3BT+10TT+2H,-0.0
4BT+6TT+2H,0.00473858248252944
5BT+2TT+2H,0.001892096287103503
3BT+10TT+H+Methyl,0.0
3BT+9TT+2Phenyl,0.0
3BT+9TT+Br+Phenyl,0.0
3BT+9TT+2Br,-0.0
3BT+9TT+Stannyl+H,0.0
4BT+6TT+H+Methyl,0.00707945890891795
4BT+5TT+2Phenyl,0.0
4BT+5TT+Br+Phenyl,0.0
4BT+5TT+2Br,-0.0
4BT+5TT+Stannyl+H,0.0
5BT+2TT+H+Methyl,0.00459807132852131
5BT+1TT+2Phenyl,0.0
5BT+1TT+Br+Phenyl,-0.0
5BT+1TT+2Br,0.0
5BT+1TT+Stannyl+H,0.0
3BT+10TT+2Methyl,0.0
3BT+9TT+Stannyl+Methyl,0.0
4BT+6TT+2Methyl,0.0019758021594917154
2BT+12TT+2Stannyl,0.0
4BT+5TT+Stannyl+Methyl,0.0
5BT+2TT+2Methyl,0.001965783264560199
3BT+8TT+2Stannyl,0.00034871120928667813
5BT+1TT+Stannyl+Methyl,-0.0
4BT+4TT+2Stannyl,0.001397594375598794
5BT+0TT+2Stannyl,0.0
3BT+10TT+H+Phenyl,-0.0
3BT+10TT+Br+H,-0.0
4BT+6TT+H+Phenyl,0.002396911195820958
4BT+6TT+Br+H,0.000558550468426451
5BT+2TT+H+Phenyl,0.0005541963280420108
5BT+2TT+Br+H,0.0016601604616283867
3BT+10TT+Methyl+Phenyl,0.0
3BT+10TT+Br+Methyl,0.0
3BT+9TT+Stannyl+Phenyl,0.0
4BT+6TT+Methyl+Phenyl,0.0012624341315557194
3BT+9TT+Stannyl+Br,0.0
4BT+6TT+Br+Methyl,0.0001378814584292552
4BT+5TT+Stannyl+Phenyl,0.0
5BT+2TT+Methyl+Phenyl,0.000576611942345938
4BT+5TT+Stannyl+Br,0.0
5BT+2TT+Br+Methyl,0.0013476995765982793
5BT+1TT+Stannyl+Phenyl,0.0
5BT+1TT+Stannyl+Br,0.0002645702022857845
3BT+11TT+2H,-0.0
4BT+7TT+2H,0.0015767490644709302
5BT+3TT+2H,0.011777619563468709
3BT+11TT+H+Methyl,0.0
3BT+10TT+2Phenyl,0.0
3BT+10TT+Br+Phenyl,0.0
3BT+10TT+2Br,0.0
3BT+10TT+Stannyl+H,0.0
4BT+7TT+H+Methyl,0.002366688017656925
4BT+6TT+2Phenyl,0.0
4BT+6TT+Br+Phenyl,0.0
4BT+6TT+2Br,0.0
4BT+6TT+Stannyl+H,2.9626395636389366e-05
5BT+3TT+H+Methyl,0.023134821897906947
5BT+2TT+2Phenyl,0.0
5BT+2TT+Br+Phenyl,0.0006617064985822726
5BT+2TT+2Br,-0.0
5BT+2TT+Stannyl+H,0.0
3BT+11TT+2Methyl,2.877699119784291e-05
3BT+10TT+Stannyl+Methyl,0.00027009476153169146
4BT+7TT+2Methyl,5.427620076802048e-05
4BT+6TT+Stannyl+Methyl,0.0
5BT+3TT+2Methyl,0.012083013987926093
3BT+9TT+2Stannyl,0.0
5BT+2TT+Stannyl+Methyl,0.0
4BT+5TT+2Stannyl,0.002862169210252121
5BT+1TT+2Stannyl,0.0016781143747028459
3BT+11TT+H+Phenyl,2.7045637306247447e-05
3BT+11TT+Br+H,0.0
4BT+7TT+H+Phenyl,0.00047023251244610287
4BT+7TT+Br+H,-0.0
5BT+3TT+H+Phenyl,0.0055892751999249085
5BT+3TT+Br+H,0.007275358427761435
3BT+11TT+Methyl+Phenyl,0.0
3BT+11TT+Br+Methyl,0.0
3BT+10TT+Stannyl+Phenyl,0.0
4BT+7TT+Methyl+Phenyl,0.0
3BT+10TT+Stannyl+Br,0.0
4BT+7TT+Br+Methyl,0.0
4BT+6TT+Stannyl+Phenyl,0.0
5BT+3TT+Methyl+Phenyl,0.005148185756752578
4BT+6TT+Stannyl+Br,0.0
5BT+3TT+Br+Methyl,0.007592424414898229
5BT+2TT+Stannyl+Phenyl,0.0
5BT+2TT+Stannyl+Br,0.0
3BT+12TT+2H,0.0004006398872098497
4BT+8TT+2H,-0.0
5BT+4TT+2H,0.026412102903683912
6BT+0TT+2H,-0.0
3BT+12TT+H+Methyl,0.0001257952807280341
3BT+11TT+2Phenyl,0.0
3BT+11TT+Br+Phenyl,0.0
3BT+11TT+2Br,0.0
3BT+11TT+Stannyl+H,0.0
4BT+8TT+H+Methyl,-0.0
4BT+7TT+2Phenyl,0.0
4BT+7TT+Br+Phenyl,0.0
4BT+7TT+2Br,-0.0
4BT+7TT+Stannyl+H,-0.0
5BT+4TT+H+Methyl,0.04892429084293133
5BT+3TT+2Phenyl,0.0
5BT+3TT+Br+Phenyl,0.0011699137296150603
5BT+3TT+2Br,0.0
5BT+3TT+Stannyl+H,0.0
6BT+0TT+H+Methyl,-0.0
3BT+12TT+2Methyl,0.001966207642624158
3BT+11TT+Stannyl+Methyl,0.0009572343312750003
4BT+8TT+2Methyl,0.0
4BT+7TT+Stannyl+Methyl,0.0
5BT+4TT+2Methyl,0.02426111016297896
3BT+10TT+2Stannyl,0.0
5BT+3TT+Stannyl+Methyl,0.00031475607861136977
6BT+0TT+2Methyl,0.00037506787337981566
4BT+6TT+2Stannyl,0.006881056500452817
5BT+2TT+2Stannyl,0.0046300247562573015
3BT+12TT+H+Phenyl,0.0008573288788890328
3BT+12TT+Br+H,0.0
4BT+8TT+H+Phenyl,-0.0
4BT+8TT+Br+H,-0.0
5BT+4TT+H+Phenyl,0.011799617671590892
5BT+4TT+Br+H,0.01409396060336798
6BT+0TT+H+Phenyl,-0.0
3BT+12TT+Methyl+Phenyl,0.0
6BT+0TT+Br+H,0.0
3BT+12TT+Br+Methyl,0.0
3BT+11TT+Stannyl+Phenyl,0.0
4BT+8TT+Methyl+Phenyl,-0.0
3BT+11TT+Stannyl+Br,0.0
4BT+8TT+Br+Methyl,-0.0
4BT+7TT+Stannyl+Phenyl,0.0
5BT+4TT+Methyl+Phenyl,0.01114856153702414
4BT+7TT+Stannyl+Br,0.0
5BT+4TT+Br+Methyl,0.013943329568293757
5BT+3TT+Stannyl+Phenyl,0.0
6BT+0TT+Methyl+Phenyl,0.0
5BT+3TT+Stannyl+Br,0.0003652403177492075
6BT+0TT+Br+Methyl,0.0
3BT+13TT+2H,0.0011659709096691463
4BT+9TT+2H,0.0014002762146445092
5BT+5TT+2H,0.024867589452000044
6BT+1TT+2H,0.0
3BT+13TT+H+Methyl,0.0
3BT+12TT+2Phenyl,0.0
3BT+12TT+Br+Phenyl,0.0002277906468653894
3BT+12TT+2Br,0.0
3BT+12TT+Stannyl+H,0.0
4BT+9TT+H+Methyl,0.0002368556548422039
4BT+8TT+2Phenyl,0.0
4BT+8TT+Br+Phenyl,0.0
4BT+8TT+2Br,-0.0
4BT+8TT+Stannyl+H,0.0
5BT+5TT+H+Methyl,0.039838892691156876
5BT+4TT+2Phenyl,0.0
5BT+4TT+Br+Phenyl,0.002963572338201755
5BT+4TT+2Br,4.079893784399434e-06
5BT+4TT+Stannyl+H,0.0
6BT+1TT+H+Methyl,0.0
6BT+0TT+2Phenyl,0.0
3BT+13TT+2Methyl,0.0020717316402590687
6BT+0TT+Br+Phenyl,-0.0
6BT+0TT+2Br,0.0
6BT+0TT+Stannyl+H,0.0
3BT+12TT+Stannyl+Methyl,0.0008468315759552527
4BT+9TT+2Methyl,0.0
4BT+8TT+Stannyl+Methyl,0.0
5BT+5TT+2Methyl,0.016860602130384136
3BT+11TT+2Stannyl,0.0
5BT+4TT+Stannyl+Methyl,0.0
6BT+1TT+2Methyl,0.00018305847243971587
